model,use_timing_feature,val_roc_auc,val_pr_auc,best_threshold,val_f1,val_precision,val_recall,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall
Logistic Regression,True,0.9471486805297573,0.5988377239420571,0.2,0.25237918134284276,0.14475005019072476,0.9841324006142297,0.9171373880784687,0.12647692512284264,0.017215943111462274,0.008683279782809037,0.992526690391459
Random Forest,True,0.936713845588711,0.6491376457250596,0.2,0.5959519725557462,0.4983933899472114,0.7409998293806518,0.8910342099130437,0.11119971095560166,0.048669007341206515,0.02524001853936304,0.6782918149466192
